country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,1.771117,2.91834,3.30385,1.76278,2.449889,2.487923,1.508367,1.276991,1.948647,1.911401,1.610768,0.8469055,2.86391,6.594097
Austria,0.5063094,1.813532,3.286583,2.485675,2.000158,1.605806,0.8965653,0.8915924,2.081269,1.998382,1.530896,1.381909,2.766667,8.54687
Belgium,-0.0531457,2.189299,3.532082,2.839664,1.113096,0.3400028,0.5614291,1.973853,2.125971,2.053165,1.43682,0.7407918,2.440248,9.597511
Canada,0.2994668,1.776872,2.912135,1.515678,0.9382919,1.906636,1.125241,1.42876,1.596884,2.268226,1.949269,0.7169997,3.395193,6.802801
Chile,0.3530467,1.410711,3.341217,3.007448,1.789556,4.718675,4.348773,3.786194,2.182719,2.43489,2.557545,3.045491,4.524569,11.64387
Colombia,4.202518,2.272003,3.415032,3.169303,2.016993,2.898838,4.989829,7.513461,4.314313,3.24057,3.52302,2.52662,3.495073,10.17724
Costa Rica,7.842702,5.662757,4.877998,4.495453,5.231336,4.519201,0.801982,-0.0174788,1.625907,2.221115,2.096046,0.7249115,1.726478,..
Czechia,1.019377,1.472727,1.917219,3.287623,1.438298,0.3439886,0.3093646,0.6835042,2.450534,2.149495,2.847876,3.161295,3.839845,15.10017
Denmark,1.30471,2.310924,2.758682,2.397915,0.7890718,0.5640205,0.4520341,0.25,1.147132,0.8136095,0.7581316,0.420712,1.853045,7.696567
Estonia,-0.0784083,2.972045,4.981901,3.9334,2.780567,-0.1061751,-0.492326,0.1486849,3.417236,3.436327,2.277259,-0.4445311,4.653167,19.39826
Finland,-1.22E-14,1.184135,3.416809,2.808332,1.478288,1.0412,-0.207932,0.3566845,0.754015,1.083821,1.024094,0.2905546,2.194574,7.123507
France,0.0876205,1.531123,2.111598,1.954195,0.8637155,0.5077588,0.0375144,0.1833349,1.032283,1.850815,1.108255,0.4764988,1.642331,5.222367
Germany,0.3127377,1.103809,2.075173,2.008491,1.504722,0.9067971,0.514421,0.4917486,1.509497,1.732168,1.445667,0.1448705,3.066667,6.872574
Greece,1.210074,4.712982,3.32987,1.50152,-0.9212719,-1.312242,-1.735902,-0.8256576,1.121259,0.6256205,0.2529927,-1.247972,1.223826,9.645261
Hungary,4.211712,4.855558,3.929921,5.652145,1.7332,-0.2275663,-0.0616447,0.3947693,2.348243,2.850248,3.338586,3.326744,5.110965,14.60814
Iceland,12.00312,5.396732,4.001026,5.1859,3.872275,2.044619,1.633058,1.69693,1.760413,2.682915,3.013977,2.847919,4.444243,8.308754
Ireland,-4.478103,-0.9220958,2.557189,1.696209,0.5087149,0.1825423,-0.2898791,0.0083063,0.3405316,0.4883702,0.9390445,-0.3345846,2.358143,7.807375
Israel,3.356178,2.69137,3.484949,1.679207,1.570255,0.4797868,-0.601291,-0.5515524,0.259415,0.7940757,0.8497831,-0.6144124,1.510201,4.393597
Italy,0.7747682,1.525516,2.780633,3.041363,1.219992,0.2410575,0.0387868,-0.0940214,1.226533,1.137488,0.6112469,-0.1377076,1.873783,8.20129
Japan,-1.341667,-0.7,-0.275,-0.0416667,0.35,2.733333,0.8,-0.1333333,0.475,0.9916667,0.475,-0.0166667,-0.25,2.508333
Korea,2.756496,2.939286,4.025965,2.187071,1.301347,1.274774,0.7063318,0.9716858,1.944332,1.475839,0.3830003,0.537288,2.498333,5.087888
Latvia,3.534107,-1.084636,4.370736,2.257789,-0.0294548,0.6204923,0.1742414,0.1406308,2.930369,2.53446,2.811403,0.2190611,3.275814,17.31029
Lithuania,4.453044,1.319214,4.130276,3.089983,1.047479,0.103758,-0.8840974,0.9055251,3.722889,2.697928,2.334509,1.199894,4.683544,19.70505
Luxembourg,0.368042,2.273679,3.410683,2.662842,1.73404,0.628544,0.4747432,0.2908333,1.7308,1.528195,1.743321,0.8199573,2.52692,6.336008
Mexico,5.297357,4.156728,3.40738,4.111508,3.80639,4.018617,2.720641,2.821708,6.041456,4.899351,3.635961,3.396834,5.689209,7.896276
Netherlands,1.189777,1.275306,2.34107,2.455548,2.506899,0.9760351,0.6002482,0.3166667,1.381459,1.703498,2.633699,1.27246,2.67572,10.00121
New Zealand,2.115656,2.302026,4.027903,1.059918,1.134418,1.227513,0.2927033,0.6462373,1.850787,1.598298,1.619632,1.714562,3.941121,7.172225
Norway,2.197386,2.418906,1.284952,0.6968641,2.120486,2.041703,2.171137,3.55,1.875101,2.764831,2.16773,1.286585,3.483881,5.764123
Poland,3.45,2.583333,4.266667,3.7,0.9,-0.025,-0.9333333,-0.5833333,1.975,1.666667,2.308333,3.4,5.1,14.3
Portugal,-0.83553,1.402573,3.653011,2.773339,0.2744167,-0.2781534,0.4879386,0.6073971,1.368614,0.9937157,0.3381784,-0.0124383,1.265657,7.832691
Slovak Republic,1.615105,0.9570181,3.919286,3.606103,1.400474,-0.0761653,-0.3252198,-0.5200102,1.311946,2.514037,2.664561,1.936941,3.149606,12.77415
Slovenia,0.8392622,1.80117,1.802852,2.597414,1.769201,0.1993438,-0.5255523,-0.0549995,1.429107,1.738609,1.630523,-0.0548568,1.917065,8.833699
Spain,-0.2878131,1.799865,3.196102,2.446128,1.408581,-0.1511148,-0.5003657,-0.202598,1.956076,1.674981,0.699519,-0.322753,3.093135,8.390576
Sweden,-0.4944606,1.157988,2.961151,0.8883775,-0.044293,-0.1796385,-0.0467847,0.9842693,1.794499,1.953535,1.784151,0.4973673,2.163197,8.369291
Switzerland,-0.4804819,0.6882387,0.2313492,-0.692552,-0.2173232,-0.0132025,-1.143909,-0.4346187,0.5337878,0.9363354,0.3628862,-0.725875,0.5818142,2.835028
Türkiye,6.250977,8.566444,6.471879,8.89157,7.49309,8.854572,7.670854,7.775134,11.14431,16.33246,15.17682,12.27896,19.59649,72.30884
United Kingdom,2,2.5,3.8,2.6,2.3,1.5,0.4,1,2.6,2.3,1.7,1,2.5,7.9
United States,-0.3555463,1.640043,3.156842,2.069337,1.464833,1.622223,0.1186271,1.261583,2.13011,2.442583,1.81221,1.233584,4.697859,8.0028
